,cell_x,cell_y,car,population,houses,houses_parking,charger_count,charger_value,building_religion,building_sale,building_edu,building_work,building_factory,public_parking_lot,public_parking_space,tot_count_
0,127.0307864,37.36227345,20322,13,0,0,0,1,1,0,0,0,0,0,0,90.944
1,127.0307977,37.36047073,20322,0,0,0,0,1,1,0,0,0,0,0,0,22.332
2,127.0319269,37.36047521,20322,21,0,0,0,1,1,0,0,0,0,0,0,14.954
3,127.0319325,37.35957385,20322,18,0,0,0,1,1,0,0,0,0,0,0,10.45
4,127.034124,37.37039905,20322,0,0,0,0,1,0,0,0,0,0,0,0,2080.344
5,127.0364493,37.35959164,20322,55,0,0,0,1,1,0,0,0,0,0,0,75.913
6,127.0386966,37.36140318,20322,12,0,0,0,1,1,0,0,0,0,0,0,227.344
7,127.0398699,37.35419671,20322,0,0,0,0,1,0,0,0,0,0,0,0,71.507
8,127.0409112,37.36862284,20322,0,0,0,0,1,0,0,0,0,0,0,0,9.444
9,127.0409167,37.36772148,20322,0,0,0,0,1,0,0,0,0,0,0,0,73.23
10,127.0409551,37.36141197,20322,19,0,0,0,1,1,0,0,0,0,0,0,1654.044
11,127.0409935,37.35510245,20322,0,0,0,0,1,1,0,0,0,0,0,0,10.176
12,127.0420405,37.36862721,20322,20,0,0,0,1,0,0,0,0,0,0,0,4.882
13,127.0420788,37.36231771,20322,15,0,0,0,1,1,0,0,0,0,0,0,8.488
14,127.0420898,37.36051499,20322,0,0,0,0,1,1,0,0,0,0,0,0,30.27
15,127.0420953,37.35961363,20322,0,0,0,0,1,1,0,0,0,0,0,0,16.749
16,127.0421117,37.35690955,20322,13,0,0,0,1,1,0,0,0,0,0,0,45.472
17,127.0421172,37.35600819,20322,6,0,0,0,1,1,0,0,0,0,0,0,15.297
18,127.043219,37.36051935,20322,0,0,0,0,1,1,0,0,0,0,0,0,3.886
19,127.0432299,37.35871664,20322,54,0,0,0,1,1,0,0,0,0,0,0,132.321
20,127.0432354,37.35781528,20322,19,0,0,0,1,1,0,0,0,0,0,0,373.779
21,127.0432409,37.35691392,20322,12,0,0,0,1,1,0,0,0,0,0,0,90.944
22,127.0433883,37.33257715,15921,0,0,0,0,1,1,0,0,0,0,0,0,7.214
23,127.0442992,37.36863594,20322,21,0,0,0,1,0,0,0,0,0,0,0,59.682
24,127.0443046,37.36773458,20322,16,0,0,0,1,0,0,0,0,0,0,0,4.374
25,127.0443428,37.36142507,20322,8,0,0,0,1,1,0,0,0,0,0,0,39.788
26,127.0443646,37.35781963,20322,6,0,0,0,1,1,0,0,0,0,0,0,1031.472
27,127.0443755,37.35601691,20322,13,0,0,0,1,1,0,0,0,0,0,0,52.278
28,127.0454394,37.36683757,20322,0,0,0,0,1,0,0,0,0,0,0,0,15.112
29,127.0454448,37.36593621,20322,12,0,0,0,1,0,0,0,0,0,0,0,10.02
30,127.0454992,37.35692261,20322,20,0,0,0,1,1,0,0,0,0,0,0,20.803
31,127.0455046,37.35602125,20322,20,0,0,0,1,1,0,0,0,0,0,0,19.98
32,127.0455209,37.35331717,20322,6,0,0,0,1,0,0,0,0,0,0,0,26.244
33,127.0465741,37.36594054,20322,7,0,0,0,1,0,0,0,0,0,0,0,22.736
34,127.0466284,37.35692695,20322,17,0,0,0,1,1,0,0,0,0,0,0,19.84
35,127.0466338,37.35602559,20322,46,0,0,0,1,1,0,0,0,0,0,0,27.945
36,127.0466392,37.35512423,20322,33,0,0,0,1,0,0,0,0,0,0,0,9.764
37,127.0477629,37.35602991,20322,15,0,0,0,1,0,0,0,0,0,0,0,13.122
38,127.047979,37.31997538,21707,0,0,0,0,1,0,0,0,0,0,0,0,13.151
39,127.0488759,37.3587383,20322,0,0,0,0,1,0,0,0,0,0,0,0,11.358
40,127.0488813,37.35783694,20322,17,0,0,0,1,0,0,0,0,0,0,0,29.1
41,127.0489136,37.35242878,20322,0,0,0,0,1,0,0,0,0,0,0,0,214.326
42,127.0499782,37.3632494,20322,0,0,0,0,1,0,0,0,0,0,0,0,32.604
43,127.0499997,37.35964396,20322,0,0,0,0,1,0,0,0,0,0,0,0,54.34
44,127.0500212,37.35603852,20322,23,0,0,0,1,0,0,0,0,0,0,0,14.646
45,127.0501395,37.33620855,15921,33,0,0,0,1,3,0,0,0,0,0,0,78.03
46,127.0501449,37.33530719,15921,21,0,0,0,1,3,0,1,0,0,0,0,11.016
47,127.0501503,37.33440582,15921,46,0,0,2,0.999526403,3,0,1,0,0,0,0,23.508
48,127.0501557,37.33350446,15921,0,0,0,2,0.999526403,3,0,1,0,0,0,0,30.75
49,127.050161,37.33260309,15921,0,0,0,2,0.999526403,0,0,1,0,0,0,0,3.764
50,127.0511021,37.36415506,20322,81,0,0,0,1,0,0,0,0,0,0,0,15.687
51,127.0511182,37.36145098,20322,14,0,0,0,1,0,0,0,0,0,0,0,5.684
52,127.051145,37.35694417,20322,12,0,0,0,1,0,0,0,0,0,0,0,39.366
53,127.0511504,37.35604281,20322,7,0,0,0,1,0,0,0,0,0,0,0,38.423
54,127.0512362,37.34162102,20322,0,0,0,0,1,1,0,0,0,0,0,0,47.3
55,127.0512791,37.33441011,15921,47,0,0,2,0.999526403,3,0,1,0,0,0,0,98.228
56,127.0512845,37.33350875,15921,60,0,0,1,0.999763202,3,0,2,0,0,0,0,11.292
57,127.0512898,37.33260738,15921,6,0,0,1,0.999763202,0,0,2,0,0,0,0,448.818
58,127.0513006,37.33080465,15921,0,0,0,1,0.999763202,0,0,1,0,0,0,0,55.08
59,127.0513381,37.32449509,21707,0,0,0,0,1,0,0,0,0,0,0,0,432.957
60,127.0513702,37.3190869,21707,13,0,0,0,1,0,0,1,0,0,0,0,94.122
61,127.0522367,37.36325798,20322,17,0,0,0,1,0,0,0,0,0,0,0,15.135
62,127.0522474,37.36145526,20322,11,0,0,0,1,0,0,0,0,0,0,0,15.108
63,127.0522688,37.35784981,20322,0,0,0,0,1,0,0,0,0,0,0,0,8.748
64,127.0522742,37.35694845,20322,0,0,0,0,1,0,0,0,0,0,0,0,85.032
65,127.0522902,37.35424437,20322,0,0,0,0,1,0,0,0,0,0,0,0,144.9
66,127.0522956,37.35334301,20322,0,0,0,0,1,0,0,0,0,0,0,0,41.832
67,127.0523865,37.33801984,15921,33,0,0,2,0.999526403,3,0,0,0,0,0,0,138.39
68,127.0523972,37.33621711,15921,53,0,0,2,0.999526403,3,0,1,0,0,0,0,3.396
69,127.0524026,37.33531575,15921,26,0,0,1,0.999763202,3,0,2,0,0,0,0,4.32
70,127.0524079,37.33441439,15921,14,0,0,1,0.999763202,3,0,2,0,0,0,0,34.336
